InformationDate,USDtoZAR,USDtoZAR_Fill,USDtoZAR_MonthlyAver
2010-03-31,7.338971733808146,7.338971733808146,7.408814760129148
2010-04-01,7.278215028215029,7.278215028215029,7.348651682526511
2010-04-02,,7.27573714648961,7.348651682526511
2010-04-03,,7.273259264764192,7.348651682526511
2010-04-04,,7.2707813830387735,7.348651682526511
2010-04-05,,7.268303501313356,7.348651682526511
2010-04-06,7.265825619587937,7.265825619587937,7.348651682526511
2010-04-07,7.270239880059969,7.270239880059969,7.348651682526511
2010-04-08,7.342433814681107,7.342433814681107,7.348651682526511
2010-04-09,7.278466826060968,7.278466826060968,7.348651682526511
2010-04-10,,7.2645551138284015,7.348651682526511
2010-04-11,,7.250643401595834,7.348651682526511
2010-04-12,7.236731689363268,7.236731689363268,7.348651682526511
2010-04-13,7.2872708532724735,7.2872708532724735,7.348651682526511
2010-04-14,7.321483657730444,7.321483657730444,7.348651682526511
2010-04-15,7.372563496751329,7.372563496751329,7.348651682526511
2010-04-16,7.36601403768009,7.36601403768009,7.348651682526511
2010-04-17,,7.400178705286827,7.348651682526511
2010-04-18,,7.434343372893562,7.348651682526511
2010-04-19,7.468508040500299,7.468508040500299,7.348651682526511
2010-04-20,7.4325226160462705,7.4325226160462705,7.348651682526511
2010-04-21,7.412547670679729,7.412547670679729,7.348651682526511
2010-04-22,7.475073093935078,7.475073093935078,7.348651682526511
2010-04-23,7.470513109458343,7.470513109458343,7.348651682526511
2010-04-24,,7.433010791536901,7.348651682526511
2010-04-25,,7.395508473615459,7.348651682526511
2010-04-26,7.358006155694017,7.358006155694017,7.348651682526511
2010-04-27,7.394732881866065,7.394732881866065,7.348651682526511
2010-04-28,7.467497168742923,7.467497168742923,7.348651682526511
2010-04-29,7.362401931200967,7.362401931200967,7.348651682526511
2010-04-30,7.3321817499061215,7.3321817499061215,7.348651682526511
2010-05-01,,7.352491413872047,7.637373048204002
2010-05-02,,7.3728010778379724,7.637373048204002
2010-05-03,7.393110741803898,7.393110741803898,7.637373048204002
2010-05-04,7.517915807166323,7.517915807166323,7.637373048204002
2010-05-05,7.600820179510987,7.600820179510987,7.637373048204002
2010-05-06,7.634006442995207,7.634006442995207,7.637373048204002
2010-05-07,7.706966891573827,7.706966891573827,7.637373048204002
2010-05-08,,7.626501843720717,7.637373048204002
2010-05-09,,7.5460367958676065,7.637373048204002
2010-05-10,7.465571748014496,7.465571748014496,7.637373048204002
2010-05-11,7.571664829106945,7.571664829106945,7.637373048204002
2010-05-12,7.4687056597824375,7.4687056597824375,7.637373048204002
2010-05-13,7.493763406689442,7.493763406689442,7.637373048204002
2010-05-14,7.529218699967979,7.529218699967979,7.637373048204002
2010-05-15,,7.5360661713987405,7.637373048204002
2010-05-16,,7.542913642829502,7.637373048204002
2010-05-17,7.549761114260264,7.549761114260264,7.637373048204002
2010-05-18,7.541921467653687,7.541921467653687,7.637373048204002
2010-05-19,7.799103504482477,7.799103504482477,7.637373048204002
2010-05-20,7.948840603210637,7.948840603210637,7.637373048204002
2010-05-21,7.93822517404177,7.93822517404177,7.637373048204002
2010-05-22,,7.918687332856326,7.637373048204002
2010-05-23,,7.899149491670882,7.637373048204002
2010-05-24,7.879611650485438,7.879611650485438,7.637373048204002
2010-05-25,7.966374867053915,7.966374867053915,7.637373048204002
2010-05-26,7.728085140953772,7.728085140953772,7.637373048204002
2010-05-27,7.676376988984089,7.676376988984089,7.637373048204002
2010-05-28,7.594153746770027,7.594153746770027,7.637373048204002
2010-05-29,,7.623696550012119,7.637373048204002
2010-05-30,,7.653239353254211,7.637373048204002
2010-05-31,7.6827821564963035,7.6827821564963035,7.637373048204002
2010-06-01,7.72760180995475,7.72760180995475,7.647001251377642
2010-06-02,7.667867081355378,7.667867081355378,7.647001251377642
2010-06-03,7.616074339745682,7.616074339745682,7.647001251377642
2010-06-04,7.744195688225538,7.744195688225538,7.647001251377642
2010-06-05,,7.755851171251176,7.647001251377642
2010-06-06,,7.767506654276813,7.647001251377642
2010-06-07,7.779162137302451,7.779162137302451,7.647001251377642
